Filename,ClassId
08290,14
08945,8
08537,12
04550,38
04922,12
05310,13
09377,12
03929,4
06205,2
07837,5
07445,25
00788,2
12228,2
05771,37
09716,38
04696,31
08156,5
04131,11
07783,16
07024,10
06664,4
06112,12
11839,1
07752,10
01119,32
04647,4
08620,31
08187,26
09060,15
05007,2
00759,23
07333,4
07494,5
06901,26
06573,13
09873,31
09401,26
00338,4
05466,36
05814,10
04226,8
01578,3
08241,5
04581,15
08994,14
01041,9
08778,1
09138,4
00601,11
12406,2
03714,25
11513,1
11961,1
02154,38
10886,5
10353,4
09559,8
00260,35
12067,35
05299,36
01420,12
01852,13
08319,2
01387,13
02947,9
02535,4
10095,3
02292,10
10732,28
06859,25
03375,13
11172,38
06888,7
11604,16
03871,33
03403,14
10044,9
02996,18
02243,16
01883,1
01356,28
04408,5
09588,17
05248,40
00516,3
00964,10
10425,31
10857,3
02185,38
10382,25
02622,35
11265,35
03062,22
12370,5
00177,40
05629,10
01090,16
04069,30
01737,15
03527,9
03955,12
06279,29
11087,12
03280,35
11720,31
07439,30
02367,1
10160,17
08939,10
01272,5
00840,12
00432,34
12192,23
00395,7
02706,33
07058,33
10973,14
10501,4
06618,10
03146,3
11894,10
11341,24
00053,9
12254,29
01613,16
01165,6
12522,26
00082,25
12285,36
00725,13
11845,9
11437,13
03197,2
11390,1
03630,15
07089,23
10277,38
02070,11
12143,5
00891,13
00344,38
05868,9
01976,30
01504,7
10616,11
02411,9
02863,30
11056,5
03984,1
03251,13
06791,24
03768,7
06036,1
07676,11
02128,16
10488,28
04763,10
08704,5
05684,25
09144,38
05123,38
02549,8
07217,32
06457,25
06825,1
03309,2
09282,10
09525,35
09957,3
05930,35
05542,5
04302,35
08365,10
08413,28
08861,39
04806,9
04474,12
05234,38
00918,35
09253,18
05593,38
09986,2
06321,41
06486,9
11678,38
07561,4
07913,12
10038,14
02598,17
05655,4
09632,10
09195,10
08072,13
04015,25
07100,11
10459,10
06740,18
11219,17
10167,35
07399,32
02360,28
03287,8
11727,33
03952,6
03520,2
11080,4
00392,28
00435,6
00847,38
12195,23
01275,38
04959,2
11346,3
03141,4
11893,2
10506,39
10974,10
02701,35
01614,5
12253,31
00054,13
12282,12
00722,5
12525,20
00085,35
01162,13
07729,5
02077,7
10270,13
11397,5
03637,5
06169,18
11430,31
11842,6
03190,8
01503,9
01971,9
04988,1
09808,30
00343,2
12144,10
00896,15
06508,11
03256,27
11051,7
03983,25
02864,28
02416,38
07348,39
10611,38
07671,2
02688,7
10328,33
06031,25
11568,31
06796,14
09143,8
05124,12
05683,38
04764,16
08703,33
06822,35
06450,7
11109,23
07210,2
10749,1
04305,1
01829,38
08362,31
09950,8
09522,1
05545,38
05937,10
09285,35
05594,8
09981,35
05233,31
09254,18
08866,25
08414,4
04473,17
04801,1
10798,3
07914,4
07566,18
02238,10
06481,13
03478,11
06326,3
08075,13
04012,1
09192,25
05652,38
09635,38
06747,35
03019,38
02659,12
07107,12
05317,35
00449,8
09370,6
08530,12
08942,38
01209,27
04925,31
04557,25
08297,30
07442,22
07830,1
06202,13
08151,10
04136,33
01668,12
04691,11
00028,9
05776,2
12588,10
09711,5
06663,9
07023,10
10908,24
07784,6
07755,7
06115,5
12559,1
09067,38
05000,18
08180,13
04640,8
08627,5
06574,2
06906,1
07493,1
02818,32
07334,1
04586,7
08993,18
04221,7
08246,5
12138,3
00498,31
09406,2
09874,11
05813,1
05461,3
09698,35
12401,38
05158,38
00606,5
01046,2
04718,22
10354,38
02153,7
10881,3
11966,16
11514,10
03713,11
01380,9
04379,4
01855,5
01427,4
12060,39
00267,25
05539,1
11175,12
03372,9
02295,2
10735,6
02532,10
02940,8
10092,9
07968,3
02244,1
10043,12
02991,7
03404,9
03876,11
11603,2
00963,14
00511,2
09228,9
08468,3
01351,12
01884,2
03065,17
11262,1
10385,11
02625,5
10850,4
10422,35
02182,42
08009,31
01730,2
01097,9
00170,13
09649,3
05189,26
12377,18
04282,12
04957,17
04525,30
08542,35
08930,31
09302,34
05365,34
00849,23
11729,12
03289,1
06270,35
07397,6
10169,18
07430,28
07842,5
09763,4
05704,1
08684,41
04144,35
08123,18
10508,3
07051,38
11348,9
06611,22
03639,38
06167,18
11399,3
07727,1
02079,17
07080,18
08655,8
04632,9
04195,5
05072,16
09015,38
02418,4
07346,22
07893,12
06506,30
06974,28
03258,36
05861,9
05413,18
09474,5
09806,5
00898,1
08234,35
04253,5
08593,11
04986,1
01034,25
01793,8
00674,26
12473,31
03761,2
06798,2
11914,2
11566,9
10481,25
02121,26
10326,33
02686,4
00215,13
05939,35
12012,22
01827,23
01455,18
02540,25
02932,13
10747,7
03300,25
11107,25
11671,4
03476,16
03804,20
06328,8
02591,14
10031,9
07568,25
02236,6
10796,13
01484,8
01323,5
08868,12
00911,13
00563,18
10822,1
10450,31
02657,25
07109,3
11210,8
06749,25
03017,26
12305,5
00102,8
01742,25
03920,12
03552,25
11755,22
02312,1
10115,4
01207,16
04559,5
08299,31
05319,27
00447,38
00835,11
02773,8
10574,4
10906,38
11493,12
03133,25
11334,13
03694,1
12586,10
00026,13
05778,23
12221,8
00781,4
04138,18
01666,16
08629,13
01110,35
12557,3
00750,10
09069,2
11442,3
11830,30
03645,1
10202,13
02005,18
00496,30
12136,2
00331,18
09408,29
04588,5
08248,17
01571,1
01903,2
10663,2
02816,1
02464,9
03583,17
11023,8
06908,11
03224,11
11784,13
11968,38
06043,35
07603,17
08771,13
01048,17
04716,5
09696,7
05156,28
00608,28
09131,12
07262,18
06385,25
06850,9
06422,31
05290,18
00269,18
05537,1
05945,1
09922,5
09550,29
08310,3
04377,4
01429,7
04401,15
04873,3
08814,4
08466,9
09226,10
05241,38
09581,13
05994,35
03878,1
06354,5
06881,35
07966,25
07514,38
09647,5
05620,25
12379,12
05187,1
04060,8
08007,26
01099,5
07175,6
06735,12
06092,7
10112,1
07839,31
02315,13
11752,5
03555,5
03927,31
09379,33
00832,1
00440,22
01200,2
08539,5
11333,13
03693,8
11494,13
03134,14
10901,31
10573,11
02774,14
04698,18
01661,28
08158,7
12226,26
00786,5
09718,13
12581,9
00021,33
05009,10
00757,12
12550,1
01117,38
04649,7
08189,6
02002,15
10205,26
03642,10
11837,18
11445,5
04228,9
01904,38
01576,38
00336,5
05468,2
00491,26
12131,35
03223,4
11783,5
03584,38
11024,14
02463,2
02811,1
10664,28
10888,35
07604,10
06044,35
05151,31
09136,30
12408,6
09691,4
08776,9
04711,5
06425,35
06857,2
06382,10
02949,38
07265,12
08317,11
04370,5
01389,26
05942,7
05530,9
09557,15
09925,1
05297,12
12069,9
09586,2
05993,1
09221,9
05246,30
00518,8
01358,2
04874,2
04406,2
08461,1
08813,1
02998,41
07513,8
07961,14
06886,1
06353,25
04067,1
01739,10
08000,32
05180,33
09640,5
00179,2
05627,5
06095,4
06732,35
10859,38
07172,12
09305,11
05362,2
04522,34
04950,9
08937,2
08545,5
04285,2
07845,42
07437,2
02369,13
07390,11
11089,9
03529,18
06277,35
04143,10
08124,10
08683,3
09764,8
05703,29
06616,6
03148,35
02708,26
07056,7
10279,9
07087,15
07720,18
03199,5
11439,25
06160,10
05075,15
09012,11
04192,11
08652,1
04635,20
11058,7
06973,1
06501,34
10618,9
07894,13
07341,33
08594,13
04981,35
08233,10
04254,14
01978,10
05414,4
05866,16
09801,34
09473,23
12474,5
00673,35
01794,25
01033,41
10321,9
02681,2
10486,8
07678,13
02126,10
11561,14
11913,30
03766,13
06038,11
01452,5
01820,5
12015,1
00212,25
09959,8
11100,13
06459,14
03307,14
10740,8
02935,2
02547,17
07219,16
02231,8
10791,7
02596,17
10036,11
03803,13
03471,11
11676,3
06488,1
00564,12
00916,13
09988,13
01324,14
04808,4
01483,2
03010,10
11217,36
02650,17
10457,12
10825,11
01745,8
00105,4
12302,18
01931,8
01543,9
12104,18
09848,37
00303,14
11011,14
03216,11
06548,12
10651,22
07308,10
02456,13
02824,38
12565,2
00762,10
01685,38
01122,35
02790,31
10230,4
02037,35
07769,38
10597,10
11802,13
11470,31
06129,35
03677,1
03101,18
11306,10
02741,4
10934,13
10546,18
01654,38
00014,0
12213,1
10680,3
02320,5
10127,4
02487,8
03560,17
03912,28
06599,8
11767,11
00807,4
00475,12
09899,18
04919,1
01235,38
01592,17
08035,9
04052,31
08792,25
05612,18
09675,13
03059,30
06707,1
07147,18
02619,10
05273,4
09214,2
08454,9
08826,30
04841,7
04433,8
04394,17
02278,1
07526,5
07954,12
07281,34
06366,40
03438,7
11198,18
11149,17
06410,10
06862,12
07985,18
10709,35
07250,3
04890,1
08485,11
01869,25
04345,15
08322,29
09562,38
09910,13
05977,8
05505,38
07196,18
10368,9
07631,6
11528,1
03088,38
06071,15
09103,22
05164,18
04083,15
04724,25
08743,17
06946,4
06534,11
06293,13
07374,18
02858,13
04261,25
08206,1
01298,20
09834,25
09446,2
05421,7
05853,2
12178,15
05386,35
07715,18
10999,24
06155,25
09027,7
05040,13
09780,11
12519,3
04600,12
08667,17
08111,12
01628,31
04176,35
05091,4
05736,23
00068,2
09751,34
06184,1
06623,22
10948,11
07063,22
05882,38
09497,30
00409,2
05357,17
09330,18
08902,36
08570,10
04517,10
04965,11
01249,12
02889,10
07870,8
07402,25
06997,11
06242,5
03782,30
11222,5
03025,30
11585,1
10462,10
10810,35
02665,8
04789,8
08049,35
01770,3
00697,8
12337,2
00130,36
12490,7
09609,38
10003,38
02204,33
07928,8
11643,18
03836,1
03444,5
00551,5
00923,1
09268,8
08428,30
01311,8
01467,5
01815,10
04339,8
05579,2
00227,5
12020,7
00580,17
11692,3
03332,2
11135,9
03495,18
02900,13
02572,5
10775,38
00646,12
05118,4
12441,15
04758,4
01006,17
08098,13
02113,5
10314,33
03753,25
11554,17
11926,35
07373,1
06294,11
06533,10
06941,25
05381,23
09441,17
09833,17
05854,11
05426,36
00378,1
01538,5
04266,1
08201,5
11879,13
06152,1
07712,4
04607,35
01159,1
08660,23
09787,13
09020,16
00719,5
05047,29
05731,5
09756,7
05096,13
12268,16
